"","titles","names","dates","ratings","reviews"
"253"," Achieves the ending it deserves
","damianphelps","9 October 2020","
            
            9/10
            
    ","
                When you invest years following a story as good as rings there is always a small dark place in your heart that is filled with the worry 'what if the ending sucks?'. Well ROTK is a very satisfying conclusion to the trilogy.Its a sweeping ride across massive landscapes intertwining multiple story arcs into their spectacular conclusions.One could argue that the movies 9 endings is a bit over the top but I actually liked that each aspect was given a full conclusion, after this much time I didn't want to ask 'what happened to ...?'.A day spent with the 3 extended editions of the trilogy is a day well spent.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"254"," a fine close to the trilogy
","didi-5","4 July 2004","
            
            9/10
            
    ","
                The core of the final film in Peter Jackson's mammoth 'Lord of the Rings' series is Frodo's journey to destroy the Ring, assisted by Sam and opposed by the ever-desperate Gollum.  At the end of 'The Two Towers', Gollum had sworn to kill the hobbits and take the ring for himself - at the start of this film they (or at least, Frodo) still see him as a friend.  So there's scope for conflict there which is exploited admirably.The other main storyline concerns the quest of Aragorn to reclaim his crown - will the king overcome all enemies and claim his birthright?  'The Return of the King' is darker and more bloody than the preceding films as the full force of Sauron and the enemies of man, elf, dwarf, and hobbit regroup and find their strength.We see a decaying Gondor lost somewhere in time, with Denethor (powerfully played by John Noble) wandering in distain of his surviving son, Faramir, and mourning the loss of his great child Boromir.  We see the young hobbits Merry and Pippin both grow up and serve with distinction in battle, while Gandalf, now the all-powerful white wizard, rallies the armies to victory.Four scenes stand out for me - Aragorn and Legolas commanding the hidden armies to join their king one last time; Frodo's battle with the spider; the final confrontation between Frodo, Gollum and the Ring (although I was disappointed at the decision to make the last key fight an invisible one); and the final grateful bow of Aragorn to his little friends.Is 'Return of the King' exciting?  Yes, there are many meaty battles and situations here.  Is it involving and touching?  Yes - with Elijah Wood and Sean Astin giving their all as Frodo and Sam, and even Pippin making good. Not to mention the resolution of the story of Arwen and Aragorn.  Is it the best film of the three?  I'm not sure.  For me, the huge scale of the first film, the beauty of Rivendell, the innocence of Middle Earth, the heart-stopping appearance of the Balrog, possibly had the edge.  Is this version of 'The Lord of the Rings' really worth the hype?  As a nine-hours plus film, undoubtedly.
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"255"," When the initial gush dies down the massive flaws will become clear ...
","hosr2","20 December 2003","
            
            5/10
            
    ","
                Sorry folks, but this film is nowhere near as good as some gushing people on IMDB seem to think. I do notice more +ve comments in the US than the UK.OK, so the visual effects are good. So what? Jackson had the technology available to do that. He needs to do much more than employ them effectively to produce a film worthy of greatness. This isn't great, indeed it's barely good.The film is full of flaws. Important plotlines are absent, as noted by a few others here. To name but a few:the palantir cast by Wormtongue out of Orthanc in the book simply appears in the pool. This is absurd. It's the most valuable thing in the tower (as Gandalf tells Pippin in the book). This happens because Jackson has cut Saruman out entirely from film III. This is a terrible mistake. Having made so much of Saruman in I and II it just leaves a hole in III full of the unexplained. Jackson's error occurs because he should have put the full fall of Saruman at the end of II (as in the book).Eowyn's love for Aragorn is much stronger in the films than the book. The problem with this is that she simply stands idly by whilst Aragorn takes the limp character of Arwen to him. There is no development of the love between Eowyn and Faramic which in part answers the aforementioned in the book.Eowyn's slaying of the witch king of Angmar is one of the best moments of the book - a truly wondrous occurrence. In the film it is hacked in two halves whilst we await Aragorn's arrival by boat. Even the tossing of her golden hair is underplayed so much that it's anticlimactic for those of us who know the book well.Faramir's character is completely changed from the book. He now appears less nice than Boromir, which is deeply problematic and raises a major flaw in why he releases the ring from his grasp.Sorry everyone but much as I like Gollum he is little more than a CGI cartoon character. If you like computer games, fine. If you want a bit of realism, not.Am I alone in finding the slaying of the poor oliphaunt by Legolas sad? I felt sorry for the creature.the John Merrick style leader of the Orcs is one of the worst creature-creations I've seenSam is awful. For those of you who like Sean Austin ... o dear. I think this may be a British / American thing. Some of those around me in the cinema started laughing at his toe-curlingly awful soppiness. Truly dreadful. The plausibly simple gardener of the book is now transformed into a college philosopher, and it's not a pretty spectacle.the moment when the hobbits appear to bounce over Frodo's bed is another soppy Jackson moment. Again, people in the cinema in London laughed at it. Even if Tolkien did intend a slight homosexual underplay to their relationships, I don't think he'd have admired Jackson heavy-handidness here.the scouring of the shire has gone altogether. Maybe that was right, but part of the whole point of this epic tale is that simple folk rise up against the mighty, and then have to confront that evil on their doorstep.the Shire is hideously twee, with not a petal out of place. Argh. If that's paradise give me the Emyn Muil any day!and finally, after more than 10 hours the demise of Sauron is dreadfully anti-climactic. The particularly silly portrayal of Sauron as a 1970's electrical storm-lamp is part of the problem here. Instead of personifying him, we have the demise of a 'thing' for which I felt no satisfaction at all. Dull.we then have to endure another 40 minutes as the movie drifts away into a confused ending, with a terrible prosthetic-Bilbo (looking like Salieri in Amadeus).If this wins an Oscar other than for special effects it will be a scandal. But then, since when has that mattered. Afterall, if Titanic can win them it shows that the appetite for drivel is unassuaged.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"256"," Delighted to see it produce on so many levels
","r96sk","19 February 2021","
            
            10/10
            
    ","
                An outstanding end to the trilogy.I expected a lot from 'The Lord of the Rings: The Return of the King' so I am delighted to see it produce on so many levels. I, funnily enough, wouldn't actually say it's necessarily the most perfect execution - what with the plot coincidences and extreme character armour. But that doesn't matter one jot whatsoever, as the story wraps up in arguably the best way - at least to watch - possible. It has so much heart and feeling to it.The story involving the characters of Elijah Wood, Sean Astin and Andy Serkis remained the most interesting to me, I was very satisfied with how it concluded in regards to them. I also enjoyed the bits we got of Viggo Mortensen, Ian McKellen & Co. All that added to the beautiful look and creation of the film, with the world coming alive splendidly.If I were to nit-pick further, I would say the run time is slightly too long. The pacing is absolutely fine, very good in fact, but I coulda done without a few of the many end scenes - a lot of which are necessary and welcome, but a couple could've been left out to allow the viewer to imagine how the world continued. That's just how I feel mind, I'm sure I'm one of only a few that think that way.Back onto the positives: how about those battle sequences? Astonishingly good. A sensational trilogy, no question about it. I look forward to seeing 'The Hobbit' films.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"257"," The Ultimate Ending to an Unforgettable Trilogy
","alexxchiodo","2 November 2013","
            
            10/10
            
    ","
                'The Lord of the Rings: The Return of the King' is the concluding chapter in the 'Lord of the Rings' Trilogy, and i must say, it concluded amazingly. The movie starts off with a dark backstory of Smeagol, which when I say dark, I mean dark. You see Smeagol murder his friend Deagol (or lover?) in which you realise how quickly the ring will poison men's minds - even to the point where one would murder a friend to have it. From here you see Smeagol deteriorate and become what we know as Gollum and it's just a really dark segment, but it provides a necessary backstory to the character. I must mention that there is one character in this movie that I despise of more than any character i have seen in any movie: Denethor, Boromir's father who pretty much scorns his second born son Faramir. It's obvious that Faramir has been trying to prove his worthiness to his father for some time, but when Denethor says to his son that he had wished he had died instead of Boromir, you can't as the viewer help but feel as broken-hearted as Faramir. I mean, imagine your father said that to you; that he had wished you had died instead of your brother. You'd feel grief-stricken. The look on Faramir's face in conjunction with the sorrowful music playing in the background makes it such a powerful scene. With watery eyes Faramir then says, ""Since you were robbed of Boromir, I will do what I can in his stead"", so then Faramir gathers his men to ride back out to Osgiliath in a fruitless battle to reclaim the city. It's such a sad scene because you know Faramir does not have enough men to reclaim the city, but he goes anyway to uphold the honour he has for his brother and halfwitted father. The whole scene is in slo- motion with Pippin singing sadly in the background as the Orcs draw their bows to kill Faramir and his men charging towards the overrun city. It's just all so sad and I'm pretty certain this scene will be very potent and indelible in my mind. In the battle for Minasterith Aragon saves the day with his army of the undead, which to me pretty much felt like him putting in a cheat code and just demolishing every Orc, Troll and Mumakil on the battlefield. And this leads me to another point - Gimli and Legolas's friendship. I loved watching their friendship grow stronger and seeing these two characters learn to tolerate each other over the three films. I also cherish the humour in their relationship, I mean how can you not laugh after Legolas impressively takes down a Mumakil all by himself and Gimli, apathetically comments, ""That still only counts as one!"" I love scenes like this that lighten-up the mood of solemn situations. One of the stand out performances, however, in the entire movie is by Samwise Gamgee. As the voice of reason in Frodo's head, Sam tries to tell him that Gollum is plotting to kill both of them and take the ring for himself, but because Gollum can empathise with Frodo, he believes Gollum's stories. When Frodo is poisoned and paralysed by Shelob (the giant spider) I really enjoyed seeing Sam battle her and be all courageous and brave and dexterous. As Frodo becomes weaker Sam needs to become stronger, and that's exactly what happens. When the two Hobbits finally reach the volcano Sam determinedly carries Frodo up the mountain to the entrance that really demonstrates his development as a character, in which the ring is later finally destroyed. It was interesting to see Gollum hold the ring close to his chest as he falls down into the pit of lava, yet even as he's sinking and burning and dying his one thought is to try save the ring. It just shows how evil can be tenacious and follow people to their death. In essence, I felt this movie was the perfect way to end such a memorable trilogy. Peter Jackson did a superb job to make all the characters unique and significant in their own way and encapsulate what life is like during Middle Earth. The setting, the costumes, the characters, the CGI and the story were all presented perfectly in a trilogy that will never be forgotten.
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"258"," At this point, it's all about the payoff and ""Return of the King'"" delivers
","Movie_Muse_Reviews","27 November 2012","
            
            10/10
            
    ","
                When a film series or trilogy receives as impeccable a treatment a J.R.R. Tolkien's ""Lord of the Rings,"" its nearly impossible for its grand finale to falter. Such is the case of ""The Return of the King,"" an absolutely colossal conclusion to Peter Jackson's epic vision.Considering a majority of ""Return of the King"" is payoff for being patient in the previous two chapters, the film is the most fun of the three and the biggest crowd pleaser. If you loved the previous films, you can't not love this one more. It's not necessarily that the film is better. Rather, it's so tonally and structurally consistent with the other films that by virtue of being the end, it stands out as an incredible experience, hence its winning of the Oscar for Best Picture.After the Battle of Helm's Deep and the defeat of Isengard, the armies of Mordor move on Gondor and the city of Minas Tirith. With King Theoden (Bernard Hill) of Rohan wary of giving all his muscle to the men of Gondor, Gandalf (Ian McKellen) and Pippin (Billy Boyd) ride there to convince the steward of Gondor, Denethor (John Noble), the mourning father of Boromir, to extend his hand to Rohan and in effect, to Aragorn (Viggo Mortensen) heir to the throne and rightful king of Gondor, a title the ranger struggles with.The War of the Ring is something to behold, even though it's interrupted by Frodo (Elijah Wood) and Sam's (Sean Astin) quest to cast the Ring back into the fires of Mt. Doom. Rather than having the forces of Sauron and the armies of Gondor and Rohan clash in a tense battle in which the victor remains unclear, the story sets the battle up to have two extreme sides, namely that we spend a majority of the battle scenes watching Minas Tirith get torn to pieces wondering how good can possibly triumph.On the other end, we know that Gollum (Andy Serkis) has plans to betray Frodo and Sam in order to repossess his one and only Precious. The debate between the two hobbits on whether Gollum can be trusted reaches its zenith in a heartbreaking way seeing as we are aware of Gollum's intentions, and by this point, with the Ring reaching Mordor, it calls out for its master and consequently has a horrible effect on Frodo.The story pushes certain failure to the brink in both the War of the Ring and in Frodo and Sam's quest to destroy the Ring, and it's easy enough to buy every ounce of it despite knowing it can't possibly end in a horrible way. That's testament to the power of the storytelling going on here.How ""Return of the King"" really one ups ""The Two Towers"" is that it doesn't feel as though its bouncing around nearly as much between the different story lines even though it is. The momentum of the impending battle and Frodo and Sam inching closer and closer to Mt. Doom keep things on edge and driving forward at all times. No scene feels obligatory or like its stalling, and even some creative scene juxtaposition such as Pippin singing to Denethor as Faramir charges into battle only makes the script appear even stronger.From an action and visual spectacle standpoint, ""Return of the King"" completely outdoes the previous chapters. A battle sequence in which Legolas (Orlando Bloom) takes down an entire oliphant on his own sums up the quality of the film in the most basic entertainment sense. Even with all the doom and gloom, there's still plenty of humor in this one as well.The resolution of the many subplots also helps to improve the overall quality of ""Two Towers"" in the context of the trilogy just by providing payoff to all the story lines that film built yet to which it gave no resolution. Everything that Eowyn (Miranda Otto) does in ""Two Towers"" feel for naught by the end of that film, but she gets her shining moment in ""Return of the King"" that brings her character full circle. ""Return of the King"" works well on its own, but it also proves that ""The Lord of the Rings"" was meant to be watched together as a trilogy, as lots of small details in the first two films pay bigger dividends in the finale. Jackson certainly proved why the entire trilogy needed to be filmed together as a complete entity; you couldn't just hold off on the rest of the series if ""The Fellowship of the Ring"" didn't pan out financially.The emotional payoff of the film is testament to the work on all ends of production, for everything from the script to the on-screen talent to the set decorators to the sound designers creates the aura of authenticity that makes this fantasy feel so real and convincing, while also pulling us along on an emotional journey in which we feel so heavily invested by the time Frodo and Sam reach the summit of Mt. Doom. As with their journey in the story, once you've gone this far as a viewer, you're incredibly committed to the outcome, and what an outcome. Bravo.~Steven CThanks for reading! Visit moviemusereviews.com
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"259"," Better than the first or second!
","alexz-4","12 December 2003","
            
            10/10
            
    ","
                I was one of the few fortunate souls who's company does business with New Line Cinema, and we were treated to a sneak peak at Return of the King five days before its release.  I'm a huge fan of both the first and second movies.  And I think the third outdoes them both.  Visually, I sat for three hours twenty stunned.  The third movie remained as faithful to the book as I could possibly imagine.  The only complaint I can think of, ***SPOILER ALERT*** is that I didn't like Legolas sliding down the trunk of the Oliphant.  (Much like I didn't like him riding a shield down the stairs in The Two Towers.)  But that is so minor that it wouldn't even scratch the perfect 10 that I give this movie.  I could already see the parts that were left out for the extended version and I can't wait to see that.  All that's left to say is, thank you to Peter Jackson and everyone else involved in this movie for giving us everything we could possibly imagine.One last note:  Make sure the theater you see it at plays this movie LOUD. When we watched the walls shook.  And the screams of the Nazgul made our eyes water and skin run cold. :)
                
                    2 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"260"," The Lord of the Rings: The Return of the King
","MrFilmAndTelevisionShow","27 July 2021","
            
            10/10
            
    ","
                A perfect end to the perfect trilogy. No other director has released such success' so close together.Acting: Perfect
Plot: Perfect (thanks Tolkien!)
Props: Perfect
Everything was perfect. Peter Jackson truly achieved the best possible outcome.
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"261"," ""Do you remember the Shire, Mr. Frodo?""
","ackstasis","19 August 2010","
            
            10/10
            
    ","
                For the past week, I'd been pining to complete my rewatch of ""The Lord of the Rings (2001-2003),"" viewing the films for the first time in years. This wait, however arduous, was nothing compared to the 360 days I originally endured between 'The Two Towers (2002)' and 'The Return of the King (2003).' The drought came to an end on December 26, 2003: I remember the exact date because it was the first night of release, and I'd been counting down for the past year. We bought our tickets weeks in advance, waited in line for over an hour, and my brother emptied a packet of jelly lollies over the row in front of us while trying to get the damn packet open.And so it is that Peter Jackson's trilogy-to-end-all-trilogies finally came to a close, in truly spectacular fashion. With the armies of Mordor marching on Minas Tirith, Gandalf (Ian McKellen) and Aragorn (Viggo Mortensen) must recruit the aid of alternative reinforcements if the land of Gondor, ruled by the callous steward Denethor (John Noble), is not to fall before the Great Eye of Sauron. Meanwhile, this epic conflict is contrasted against the image of two little hobbits, Frodo and Sam, dutifully trundling across the wastelands of Mordor, two innocuous Halflings carrying the weight of a million men. Once again, the film excels at these stunning contrasts. The death of Denethor, a powerful, intimate moment of self-realisation, unexpectedly bridges into the Battle for Minas Tirith, the loss of one man suddenly absorbed into the slaughter of thousands.A word of warning: arachnophobics should be weary of Frodo's excursion into Shelob's Lair, a magnificent work of grotesquerie visual effects, topped only by the ""insect pit"" in Jackson's own 'King Kong (2005).' Andy Serkis, as the computer-generated Gollum, once again brings pathos and fragility into the role of the tormented former Ring-bearer. 'The Return of the King' has perhaps the most unforgettable final hour I've ever seen, as the fate of all that is good comes down to a scrappy scuffle on the edge of a fiery precipice, this one-on-one conflict somehow more ""epic"" than the entire Battle of Helms Deep. But Peter Jackson isn't done yet. While excising Tolkien's somewhat anti-climactic ""Scouring of the Shire,"" he nevertheless brings the trilogy to a graceful, and wonderfully satisfying, close, his leisurely winding-down approach doing justice to one of the richest fantasy sagas ever told.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"262"," A bit disappointing
","duke_manga_man","5 April 2004",NA,"
                Spoilers! First of all, ROTK is my favourite book of the trilogy. There are quite a few parts of it that pack a wallop But it must have been the prevalance of special effects that removed alot of the humanity in the book. It still is a good film, but as far as epics is definetely below The Fellowship of the Ring, and Master and Commander. There are parts that work great, like the appearance of Minas Tirith and also Minas Morgul, and the change from the book regarding the lighting of the beacons did have an epic sweep. But here are the shortfalls:The battle of Minas Tirith starts good, but when the rohirrim show up, all of a sudden becomes nothing but FX. The human scale is lost. - The charge of the oliphants. Can't remember this in the book, why borrow from The Empire Strikes Back when you are working with one of the great pieces of literature? - The walk through the paths of the dead. Far more understated in the book, and more spooky and atmospheric. In the movie it is all dumbed down - This has bugged me throughout the trilogy. Legolas is a woodland elf, kind of a xenophobic country bumpkin to the high elves. The two types of elves are not too fond of each other. They definitely don't hang around. Why is Legolas presenting Arwen at the end of the film? - Slight changes (ie. the corsair fleet seems to take a back seat,and the final battle is anticlimatic) lose their impact in the translation - The fate of Saruman is omitted. He is one of the most important characters, kind of a middle earth Hitler, through which Tolkien was making a comment on his times However I did like the compacted, low key ending (I wish a bit more of the film was lower key and strove to be more visionary). 7/10
                
                    18 out of 40 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"263"," The Return of the King - Peter Jackson's Magnum Opus Comes To An End.
","Amyth47","21 August 2018","
            
            10/10
            
    ","
                My Rating : 10/10 ♠ MASTERPIECE ♠Part III of one of the best trilogies and one of the best fantasy movies ever made.
A bit more intense than the previous instalments and perfect ending to the trilogy.Peter Jackson is a genius and 'The Lord of the Rings' is undoubtedly his magnum opus.
                
                    2 out of 3 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"264"," The conclusion to the wonderful epic The Lord Of The Rings: The Return Of The King.
","eaw1990osaka","18 January 2004",NA,"
                This wonderful conclusion to Peter Jackson's adaptation of .J.R.R. Tolkien's most popular written work should definetly win a few awards to say the least. The first movie, The Fellowship of the Ring, inspired me to read the trilogy.  As I was only twelve at the time, these were the first books I actually finished reading. I decided first off that no matter how much the film makers changed the story, as long as the general plot line and points that Tokien was trying to make were made in a fashion that Tolkien would have liked, I would accept these movies. These are three spectacular films, or rather, one large movie version, created by crazy Tolkien fans, of the tale of how evil came into being and how it was destroyed.For those of you who have not seen this movie, and are wondering whether or not to go and see it, by now you know clearly what I think.  This movie is the conclusion to the first two movies, or rather the conclusion to one long continuing story. If you haven't seen the first two, go and see them before you come and see this one: There's nothing worse then hearing the end of a great tale before you even get a chance to begin it. Once you start this trilogy, you will not want to be left behind. It is about how the Hobbits, Frodo(an aristocrat) and Sam (his loyal gardener and best companion), struggle on to a land called Mordor to destroy a ring that corrupts the minds of even the strongest warriors, and about how their friends try to guide and help them in their quest to save all life, even if it takes their own lives to destroy the ring. The movie is full of tales of how Middle Earth and its people are making their last and final attempts to fight the evil, and save not only their homes, wives and children, but their own humanity and souls as well. It is a tale of how life almost disappeared but when darkness almost completely covered all earth, some courageos people, whether from the sanity of their minds or rightness of their hearts gave their last shot to save life because they valued it.  They gave their last hope, said their last prayers, and were able to destroy this evil. Nothing that I can say would be good enough to put these people and their world into the right words so that you could imagine it: Just watch the movie so you can start experiencing it.
                
                    5 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"265"," Bleh (SPOILERS)
","counterrevolutionary","25 May 2004","
            
            5/10
            
    ","
                After being disappointed with the first film, then enjoying the second enough that I actually bought both extended DVDs, I find myself back to disappointment with number 3, for several reasons.1) ROTK suffers from the same thing as FOTR: trying to cram too much story into too little time (can you believe Jackson originally wanted to do LOTR in *two* movies)?2) The CGI effects, which were never as impressive as they were cracked up to be, are now just boring.3) Jackson has finally given in to his previously (mostly) incipient I-know-better-than-Tolkien-itis. The Paths of the Dead sequence now plays like a bad horror movie (think Stephen Sommers), and the Cirith Ungol-Shelob's Lair sequence has both Frodo and Sam behaving entirely out of character. Worst of all is the Cracks of Doom scene, where Jackson for some reason feels it necessary to gild the lily by adding a (literal) cliffhanger. Also, the Scouring of the Shire is *not* (unlike Tom Bombadil or the parley with the Mouth of Sauron) dispensable. Dropping it alters the whole character of the ending.4) What was the point of having Denethor go over the cliff in flames?5) Gandalf explains to Pippin what happens after death? Tolkien must be turning in his grave. And the explanation isn't even interesting.6) But worst of all, I reread the novel between TTT and ROTK. This was a grievous error; it merely pointed up the inferiority of the films.So, anybody want to buy a couple of extended DVDs, cheap?ROTK 5/10; full series, 6/10.
                
                    10 out of 25 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"266"," Disappointing conclusion
","Elori","18 December 2004","
            
            5/10
            
    ","
                I was rather hyped for the third part of the Lord of the Rings trilogy, as I suppose everyone was. Unfortunately, I found it boring and lacklustre. The Return of the King barely exhibited the epic quantity that I awaited from the finale of the trilogy. It seems that by this time, the whole crew was tired of the project. Also, the omissions and changes to Tolkien's original are most glaring in RotK. The movie just whizzed by and I failed to be impressed. Maybe the Extended Edition would prove to be a more rousing experience. The normal edition, however, despite its efforts, remains a lacking ho-hum finale to what began as an impressive filmatization of the Lord of the Rings tale.
                
                    13 out of 30 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"267"," these are the films of the decade
","grumpy-3","11 December 2003","
            
            10/10
            
    ","
                and so we come to the final part, and what a part it is, for three and a quarter hours you experience every emotion, you are on the edge of your seat, and you see scenes in a film you have never seen before. the acting from the spot on ensemble cast is without flaw, the look the direction, the music i can go on and on.  a film/story with real heart and courage, and with a depth that nothing i have seen recently comes close to.  forget super heroes forget matrixs this is back to real cinema with characters that you care about who matter 10 out of 10 for jackson and the cast and crew of an out and out masterpiece
                
                    3 out of 5 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"268"," Stunningly Glorious
","SPZMaxinema","21 August 2021","
            
            9/10
            
    ","
                In every sense, this movie brought it all with emotional and terrifying stakes, epicness with impressive battle scenes, and a good wrap up for (most) of the characters and their arcs. THIS is the movie that makes the franchise in my opinion.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"269"," The Most Epic Conclusion to a Fantasy Franchise Ever!
","Johnny-the-Film-Sentinel-2187","29 November 2012","
            
            10/10
            
    ","
                Where do I even begin with The Lord of the Rings Trilogy? It is one of the finest film trilogies to ever make it to the big screen. Peter Jackson was admittedly an unexpected choice of director for the trilogy. Before Lord of the Rings, he made The Frighteners, Bad Taste, Meet the Feebles, and Heavenly Creatures. Heavenly Creatures was his first step out of absurd cinema, and then after The Frighteners came out in 1996, The Lord of the Rings: The Fellowship of the Ring was released in 2001 and became a critical, commercial and prestigious success. The Two Towers had the same success in 2002, and finally The Return of the King came and was the greatest of The Lord of the Rings Trilogy, and the first ever fantasy movie to win the Academy Award for Best Picture, and went on to win the BAFTA for Best Film and The Golden Globe for Best Picture - Drama.The Return of the King won all these awards for the right reasons. It was epic, gorgeous, a story that has been told consistently great from start to finish, and everything works. Lord of the Rings is one of those tales that will live on forever and ever. J.R.R. Tolkien would be extremely proud, even if his son, Christopher, isn't proud of the movies.The Lord of the Rings: The Return of the King will be remembered and still be considered one of the finest movies ever made. An achievement on an epic cinematic level and a cultural milestone.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
"270"," Stunning conclusion to one of the best series ever made
","vithiet","29 December 2018","
            
            10/10
            
    ","
                An absolutely epic conclusion to this fantastic trilogy. An perfect adaptation of Tolkien's masterpiece, which set all the standards for Fantasy movies just like Tolkien did for Fantasy literature.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        Permalink
                
            "
